Nombre;Tipo;publica/privada
A Coruna;Presencial;Publica
Alcala;Presencial;Publica
Alicante;Presencial;Publica
Almeria;Presencial;Publica
Autonoma de Barcelona;Presencial;Publica
Autonoma de Madrid;Presencial;Publica
Barcelona;Presencial;Publica
Burgos;Presencial;Publica
Cadiz;Presencial;Publica
Cantabria;Presencial;Publica
Carlos III de Madrid;Presencial;Publica
Castilla-La Mancha;Presencial;Publica
Complutense de Madrid;Presencial;Publica
Cordoba;Presencial;Publica
Extremadura;Presencial;Publica
Girona;Presencial;Publica
Granada;Presencial;Publica
Huelva;Presencial;Publica
Illes Balears (Les);Presencial;Publica
Jaen;Presencial;Publica
Jaume I de Castellon;Presencial;Publica
La Laguna;Presencial;Publica
La Rioja;Presencial;Publica
Las Palmas de Gran Canaria;Presencial;Publica
León;Presencial;Publica
Lleida;Presencial;Publica
Malaga;Presencial;Publica
Miguel Hernandez de Elche;Presencial;Publica
Murcia;Presencial;Publica
Oviedo;Presencial;Publica
Pablo de Olavide;Presencial;Publica
Pais Vasco/Euskal Herriko Unibertsitatea;Presencial;Publica
Politecnica de Cartagena;Presencial;Publica
Politecnica de Catalunya;Presencial;Publica
Politecnica de Madrid;Presencial;Publica
Politecnica de València;Presencial;Publica
Pompeu Fabra;Presencial;Publica
Publica de Navarra;Presencial;Publica
Rey Juan Carlos;Presencial;Publica
Rovira i Virgili;Presencial;Publica
Salamanca;Presencial;Publica
Santiago de Compostela;Presencial;Publica
Sevilla;Presencial;Publica
Valencia (Estudi General);Presencial;Publica
Valladolid;Presencial;Publica
Vigo;Presencial;Publica
Zaragoza;Presencial;Publica
Nacional de Educacion a Distancia;No presencial;Publica
Abat Oliba CEU;Presencial;Privada
Alfonso X El Sabio;Presencial;Privada
Antonio de Nebrija;Presencial;Privada
Atlantico Medio;Presencial;Privada
Camilo Jose Cela;Presencial;Privada
Cardenal Herrera-CEU;Presencial;Privada
Catolica de Valencia San Vicente Martir;Presencial;Privada
Catolica San Antonio;Presencial;Privada
Catolica Santa Teresa de Jesus de Avila;Presencial;Privada
Deusto;Presencial;Privada
Europea de Canarias;Presencial;Privada
Europea de Madrid;Presencial;Privada
Europea de Valencia;Presencial;Privada
Europea del Atlantico;Presencial;Privada
Europea Miguel de Cervantes;Presencial;Privada
Fernando Pessoa-Canarias (UFP-C);Presencial;Privada
Francisco de Vitoria;Presencial;Privada
IE Universidad;Presencial;Privada
Internacional de Catalunya;Presencial;Privada
Loyola Andalucia;Presencial;Privada
Mondragon Unibertsitatea;Presencial;Privada
Navarra;Presencial;Privada
Pontificia Comillas;Presencial;Privada
Pontificia de Salamanca;Presencial;Privada
Ramon Llull;Presencial;Privada
San Jorge;Presencial;Privada
San Pablo-CEU;Presencial;Privada
Vic-Central de Catalunya;Presencial;Privada
A Distancia de Madrid;No presencial;Privada
Internacional de La Rioja;No presencial;Privada
Internacional Isabel I de Castilla;No presencial;Privada
Internacional Valenciana;No presencial;Privada
Oberta de Catalunya;No presencial;Privada